source_url	parsed_url
https://regex101.com/	https://regex101.com/static/assets/icon-32.png
https://regex101.com/	https://regex101.com/static/assets/favicon.ico
https://regex101.com/	https://regex101.com/static/assets/icon-152.png
https://regex101.com/	https://regex101.com/account/mine
https://regex101.com/	http://whatismarkdown.com/
https://regex101.com/	https://regex101.com/debugger
https://regex101.com/	https://regex101.com/
https://regex101.com/	https://fonts.googleapis.com/css2?family=Open+Sans:ital,wght@0,300;0,400;0,600;0,700;1,400&family=Source+Code+Pro:wght@400;500;700&display=swap
https://regex101.com/	https://turnonjs.com
https://regex101.com/	https://github.com/firasdib/Regex101/issues
https://regex101.com/	https://regex101.com/static/assets/icon-120.png
https://regex101.com/	https://regex101.com/static/assets/icon-60.png
https://regex101.com/	https://regex101.com/static/assets/icon-57.png
https://regex101.com/	https://regex101.com/static/assets/icon-180.png
https://regex101.com/	https://www.paypal.com/donate/?hosted_button_id=83QZGPDJEX4MN
https://regex101.com/	https://github.com/sponsors/firasdib
https://regex101.com/	https://fonts.gstatic.com
https://regex101.com/	https://regex101.com/static/assets/icon-76.png
https://regex101.com/	https://www.doppler.com/?utm_campaign=github_repo&amp;utm_medium=referral&amp;utm_content=regex101&amp;utm_source=github
https://regex101.com/	http://browsehappy.com/
https://regex101.com/	https://regex101.com/static/653.de37bf83de58791edb3a.css
https://regex101.com/	https://regex101.com/static/bundle.6bfb26982d4891e30c6a.css
https://regex101.com/	https://regex101.com/static/assets/changelog.md
https://regex101.com/	https://regex101.com/codegen?language=php
https://regex101.com/	https://regex101.com
https://regex101.com/	https://regex101.com/static/quickref.c6f085600dfeadac3903.chunk.js
https://regex101.com/	https://regex101.com/static/assets/icon-144.png
https://regex101.com/	https://regex101.com/library
https://regex101.com/	https://fonts.googleapis.com
https://regex101.com/	https://regex101.com/static/assets/manifest.webmanifest
https://regex101.com/	https://regex101.com/static/assets/icon-72.png
https://regex101.com/	https://regex101.com/settings
https://regex101.com/	https://regex101.com/static/assets/icon-192.png
https://regex101.com/	https://regex101.com/quiz
https://regex101.com/	https://github.com/firasdib/Regex101/wiki
https://regex101.com/	https://regex101.com/static/assets/icon-114.png
https://regex101.com/	https://regex101.com/static/assets/icon-16.png
https://regex101.com/	https://web.libera.chat/?nick=re101-barb-?&amp;chan=#regex
https://regex101.com/	https://twitter.com/regex101
https://regex101.com/	https://regex101.com/static/assets/icon-96.png
https://regex101.com/	https://regex101.com/static/assets/flavors.md
https://regex101.com/	mailto:contact@regex101.com
https://www.mediamatters.org/	https://www.mediamatters.org/education/right-wing-media-push-privatization-and-school-choice-response-scotus-affirmative-action
https://www.mediamatters.org/	https://www.mediamatters.org/fox-news/fox-news-charles-hurt-suggests-white-house-planted-cocaine-distract-economy
https://www.mediamatters.org/	https://www.mediamatters.org/?page=0
https://www.mediamatters.org/	https://www.mediamatters.org/broadcast-networks/how-national-tv-news-extreme-weather-coverage-overlooks-most-vulnerable
https://www.mediamatters.org/	https://www.mediamatters.org/facebook/read-media-matters-public-comment-calling-meta-address-anti-abortion-misinformation
https://www.mediamatters.org/	https://www.mediamatters.org/climate-deniers/right-wing-media-spread-false-panic-about-new-york-pizza-and-new-air-pollution-rule
https://www.mediamatters.org/	https://www.mediamatters.org/climate-energy
https://www.mediamatters.org/	https://www.mediamatters.org/corrections
https://www.mediamatters.org/	https://www.mediamatters.org/take-action
https://www.mediamatters.org/	https://www.mediamatters.org/fox-news/fox-news-covered-apparent-trump-inspired-threat-obama-only-2-minutes-while-covering-0
https://www.mediamatters.org/	https://www.mediamatters.org/angelo-carusone/msnbc-angelo-carusone-explains-new-wave-vulnerabilities-created-launch-metas
https://www.mediamatters.org/	https://www.mediamatters.org/news-analysis
https://www.mediamatters.org/	https://www.mediamatters.org/#study
https://www.mediamatters.org/	https://www.youtube.com/channel/UC_70iWZ6ym2cglS_kv5YfmA
https://www.mediamatters.org/	https://www.mediamatters.org/voter-fraud-and-suppression/right-wing-media-championed-trumps-2020-fake-elector-scheme-now-being
https://www.mediamatters.org/	https://www.mediamatters.org/facebook/far-right-figures-including-nazi-supporters-anti-gay-extremists-and-white-supremacists-are
https://www.mediamatters.org/	https://www.mediamatters.org/fox-news/fox-news-and-tucker-carlson-both-lose-after-his-firing
https://www.mediamatters.org/	https://www.mediamatters.org/steve-bannon/steve-bannon-has-spent-years-promoting-rfk-jr-and-his-crackpot-anti-vaccine-theories
https://www.mediamatters.org/	https://www.mediamatters.org/studies
https://www.mediamatters.org/	https://www.mediamatters.org/guns-public-safety
https://www.mediamatters.org/	https://www.mediamatters.org/cnn/medias-guide-covering-gun-violence
https://www.mediamatters.org/	https://www.mediamatters.org/rumble/ads-major-companies-appeared-rumble-videos-extreme-anti-lgbtq-rhetoric-during-pride-month
https://www.mediamatters.org/	https://www.mediamatters.org/twitter/twitter-admits-appointment-new-ceo-linda-yaccarino-will-not-result-different-content
https://www.mediamatters.org/	https://www.mediamatters.org/diversity-discrimination/right-wing-media-smear-trans-people-and-blm-supporters-following
https://www.mediamatters.org/	https://www.mediamatters.org/#facebook
https://www.mediamatters.org/	https://www.mediamatters.org/murdoch-family/fox-news-wants-massive-increase-its-cable-fees-which-will-be-paid-all-cable
https://www.mediamatters.org/	https://www.mediamatters.org/#twitter
https://www.mediamatters.org/	https://www.mediamatters.org/
https://www.mediamatters.org/	https://www.mediamatters.org/twitter/dish-samsung-wall-street-journal-and-others-are-advertising-twitter-account-leading-white
